k,silhouette,davies_bouldin,tamano_min,tamano_max
3,0.25214887627675325,1.4431438995017196,130,427
4,0.2117011511549707,1.3836573828993082,20,332
5,0.1543014101337088,1.6406341259735722,20,243
6,0.16284283079860043,1.5779625730511013,20,228
7,0.16820179799159699,1.5463781591591435,18,215
8,0.16613058851406423,1.5385735211489597,18,207
