PARROQUIA_CODIGO,parroquia_urbana_cne,sufragantes_v1,nulos,blancos,nulos_blancos_v1_pct,nulos_blancos_v1_n,votos_validos_v1,pc_centro,"pc_centro_con_tinte
institucionalista",pc_centro_pragmático,"pc_centro-derecha
moderado","pc_centro-izquierda
libertaria","pc_daniel_noboa_azin
(derecha_liberal_
moderada)",pc_derecha_autoritaria,"pc_derecha_autoritaria
dura","pc_derecha_autoritaria
moderada",pc_derecha_liberal,pc_derecha_moderada,pc_izquierda_autoritaria,pc_izquierda_libertaria,"pc_luisa_gonzalez
(izquierda_autoritaria)",votos_validos_v2,elec_v2_noboa_pct,elec_v2_luisa_pct,elec_v2_noboa_minus_luisa,zona_id_cne
7235.0,RUMIPAMBA,28889.0,1164.0,93.0,0.043511371110111115,1257.0,27613.0,0.03353492920001449,0.0006880817006482454,0.001665882012095752,0.0013037337485966754,0.0035852678086408575,0.7280990837648933,0.00894506210842719,0.0009053706587476913,0.0015572375330460291,0.0005794372215985224,0.0018831709701951978,0.0068083873537826385,0.022887770253141638,0.18755658566617173,28289.0,0.803492523595744,0.19650747640425606,0.6069850471914879,URB-7235
7170.0,IÑAQUITO,51367.0,2264.0,177.0,0.047520781824907044,2441.0,48896.0,0.035667539267015706,0.0008180628272251309,0.001942899214659686,0.0015338678010471205,0.0033949607329842933,0.6785217604712042,0.008098821989528797,0.0014520615183246073,0.0020042539267015706,0.0006339986910994765,0.0019224476439790577,0.007628435863874346,0.03462450916230367,0.22175638089005237,49861.0,0.7703616052626301,0.22963839473736988,0.5407232105252602,URB-7170
7195.0,LA CONCEPCION,21886.0,916.0,59.0,0.04454902677510737,975.0,20902.0,0.03133671419002966,0.0005262654291455363,0.0025834848339871784,0.001722323222658119,0.0031097502631327145,0.6837144770835327,0.004975600421012343,0.0009090039230695628,0.001913692469620132,0.0011003731700315758,0.0022007463400631516,0.008228877619366567,0.024447421299397188,0.2332312697349536,21477.0,0.767891232481259,0.232108767518741,0.535782464962518,URB-7195
7185.0,KENNEDY,55022.0,2866.0,251.0,0.05665006724582894,3117.0,51872.0,0.03572254780999383,0.0007132942628007403,0.0019085441085749538,0.0016772054287476866,0.0030266810610734113,0.643622763726095,0.005282233189389266,0.0016386489821098088,0.0023133867982726712,0.0008482418260333127,0.0029881246144355337,0.009619833436150525,0.033139265885256015,0.25749922887106724,53244.0,0.7425437607993389,0.25745623920066113,0.4850875215986778,URB-7185
7180.0,JIPIJAPA,32098.0,1479.0,136.0,0.0503146613496168,1615.0,30467.0,0.03229723963632783,0.0010174943381363443,0.0021662782682902813,0.0015098303082023172,0.002986838218400236,0.6455509239505038,0.007450684346998392,0.0008862047461187514,0.0018708766862506974,0.0010503167361407425,0.0024945022483342633,0.008041487511077559,0.04145468867955493,0.25122263432566383,31085.0,0.7420942576805534,0.2579057423194467,0.4841885153611067,URB-7180
7220.0,PONCEANO,23347.0,1146.0,149.0,0.0554675118858954,1295.0,22052.0,0.0321512787955741,0.0005441683294032287,0.0028568837293669507,0.0015871576274260838,0.002312715399963722,0.616678759296209,0.005214946490114275,0.0013604208235080718,0.0017685470705604933,0.0011790313803736623,0.0020859785960457102,0.007799746054779612,0.034418646834754214,0.29004171957192093,22501.0,0.7099240033776276,0.2900759966223723,0.4198480067552553,URB-7220
7130.0,BELISARIO QUEVEDO,32866.0,1853.0,174.0,0.06167467899957403,2027.0,30832.0,0.04128827192527244,0.0008432797093928386,0.0028217436429683446,0.0023676699532952775,0.003697457187337831,0.581279190451479,0.0065192008303061755,0.0018487285936689155,0.0024649714582252206,0.001070316554229372,0.0038271925272444214,0.013395173845355475,0.04229372080954852,0.2962830825116762,31200.0,0.70875,0.29125,0.4175,URB-7130
7215.0,MARISCAL SUCRE,18914.0,960.0,119.0,0.0570476895421381,1079.0,17819.0,0.03844211235198384,0.0008979179527470677,0.002132555137774286,0.0011785173129805265,0.003816151299175038,0.5951512430551659,0.007744542342443459,0.0011223974409338346,0.0021886750098209775,0.0010101576968404513,0.0027498737302878947,0.010718895560918122,0.047982490599921435,0.28486447050900726,18112.0,0.7030697879858657,0.2969302120141343,0.40613957597173145,URB-7215
7135.0,CARCELEN,34756.0,1894.0,226.0,0.06099666244677178,2120.0,32617.0,0.0343379219425453,0.000889106907440905,0.0019008492503909005,0.0013489897905999938,0.0027286384400772605,0.5850630039549928,0.005518594597909066,0.0015022840849863567,0.0021767789802863537,0.0009197657663181777,0.0031885213232363493,0.010853236042554497,0.03228377839776803,0.317288530520894,33408.0,0.6868115421455939,0.31318845785440613,0.3736230842911878,URB-7135
7175.0,ITCHIMBIA,34643.0,2009.0,189.0,0.06344716104263487,2198.0,32438.0,0.038288427153338675,0.0008323571120291016,0.0022504470065972007,0.002127134841852149,0.0034835686540477216,0.556846907947469,0.0056107034958998705,0.0016647142240582033,0.0029286639126949875,0.001171465565077995,0.003637708859979037,0.011899623897897527,0.046087921573463225,0.3231703557555953,33157.0,0.6784992610911723,0.3215007389088277,0.3569985221823446,URB-7175
7245.0,SAN ISIDRO DEL INCA,24465.0,1310.0,143.0,0.05939096668710402,1453.0,22999.0,0.03717552937084221,0.0006522022696638985,0.002260967868168181,0.0019131266576807688,0.0033479716509413455,0.5528066437671203,0.006652463150571764,0.001782686203747989,0.002174007565546328,0.0009130831775294578,0.0032175311970085657,0.010304795860689595,0.0500891343101874,0.3267098569503022,23327.0,0.6768980151755476,0.32310198482445235,0.35379603035109525,URB-7245
5540.0,LA MAGDALENA,67978.0,3973.0,460.0,0.06521227455941628,4433.0,63513.0,0.03703178876765387,0.0007400059830270969,0.0026451277691181335,0.0018421425534929858,0.0027395966180152093,0.5459827122006519,0.0059515374805158,0.0019366114023900618,0.002755341426164722,0.001196605419362965,0.0035110922173413315,0.01295797710704895,0.04610079826177318,0.33460866279344387,64760.0,0.6734403953057443,0.3265596046942557,0.3468807906114886,URB-5540
7250.0,SAN JUAN,35291.0,2154.0,216.0,0.06715593210733614,2370.0,32905.0,0.036225497644734844,0.0009724965810667072,0.0026743655979334447,0.001732259535025072,0.003494909588208479,0.5233247226865219,0.006230056222458593,0.002036164716608418,0.0027655371524084485,0.0015499164260750645,0.0035253001063668137,0.014131590943625589,0.059778149217444156,0.34155903358152256,33494.0,0.6588344181047352,0.3411655818952648,0.3176688362094704,URB-7250
7145.0,COCHAPAMBA,27272.0,1483.0,258.0,0.06383836902317395,1741.0,25516.0,0.032998902649318075,0.001214923969274181,0.0034880075246903905,0.0014892616397554476,0.003605580812039505,0.5268850917071641,0.006544912995767362,0.0014500705439724096,0.0019987458849349427,0.0014108794481893713,0.0031744787584260855,0.009601818466844332,0.062353033390813606,0.3437842922088102,25907.0,0.6560775080094183,0.34392249199058167,0.31215501601883666,URB-7145
