zona_id,parroquia_sat,fuente_margen,poblacion_total,poblacion_votante,censo_nbi_pobreza_pct,tasa_desempleo_pea,censo_edad_15_29_pct,censo_hombres_pct,joven_hombre_pct,joven_mujer_pct,joven_pobre_pct,joven_no_pobre_pct,margen_usado,indice_afinidad,e_votos_afines
50-174,Quito,real_barrio_cne,7860,6953,0.06552162849872774,0.033278777959629025,0.16972010178117047,0.47442748091603054,0.0767175572519084,0.09300254452926209,0.01005089058524173,0.15966921119592875,0.5407232105252602,0.9090664173086987,6320.738799547383
50-176,Quito,real_barrio_cne,6458,5695,0.032672654072468256,0.04109269203829092,0.13518117064106536,0.4591204707339734,0.05961598017962218,0.07556519046144317,0.0037163208423660575,0.1314648497986993,0.5407232105252602,0.9090664173086987,5177.133246573039
50-175,Quito,real_barrio_cne,6463,5471,0.1265172735760971,0.04720616570327553,0.18149466192170818,0.4660374439114962,0.08633761411109392,0.09515704781061426,0.021661766981278044,0.15983289494043015,0.5407232105252602,0.9090664173086987,4973.502369095891
50-154,Quito,real_barrio_cne,5937,5224,0.0790893760539629,0.03222532352194874,0.1861209364999158,0.4669024759979788,0.0875863230587839,0.09853461344113189,0.01549604177193869,0.1706248947279771,0.5407232105252602,0.9090664173086987,4748.962964020642
50-144,Quito,real_barrio_cne,4875,4210,0.0800246862785435,0.039318479685452164,0.14912820512820513,0.4678974358974359,0.07158974358974358,0.07753846153846154,0.014153846153846154,0.13497435897435897,0.6069850471914879,1.0,4210.0
50-134,Quito,real_barrio_cne,6071,5029,0.12589122020778162,0.16332461493751815,0.28611431395157305,0.587547356283973,0.1948608137044968,0.09125350024707626,0.02470762642068852,0.16339976939548673,0.4850875215986778,0.8327154923399763,4187.726210977741
50-143,Quito,real_barrio_cne,4756,4116,0.05887300252312868,0.036542515811665496,0.13898233809924307,0.45374264087468463,0.06644238856181665,0.07253994953742642,0.008410428931875526,0.13057190916736752,0.6069850471914879,1.0,4116.0
50-146,Quito,real_barrio_cne,4787,4084,0.04345101316064341,0.031767955801104975,0.15688322540213076,0.4434927929809902,0.07332358470858576,0.08355964069354502,0.007520367662419052,0.14936285773971172,0.6069850471914879,1.0,4084.0
50-112,Quito,real_barrio_cne,4724,4064,0.044893617021276595,0.05946337926033358,0.17125317527519052,0.46147332768839966,0.08784928027095681,0.0834038950042337,0.00571549534292972,0.1655376799322608,0.6069850471914879,1.0,4064.0
50-999,Quito,real_barrio_cne,9002,6518,0.5347874720357941,0.13481308411214954,0.2509442346145301,0.4823372583870251,0.12241724061319707,0.12852699400133305,0.13052654965563207,0.11875138858031549,0.3176688362094704,0.6029606041892865,3930.0972181057696
