zona_id,barrio,parroquia_sat,cluster,indice_afinidad,e_votos_afines,poblacion_votante,censo_nbi_pobreza_pct,tasa_desempleo_pea,censo_edad_15_29_pct,censo_hombres_pct,joven_hombre_pct,joven_mujer_pct,joven_pobre_pct,joven_no_pobre_pct,censo_internet_pct,censo_analf_digital_pct,censo_discapacidad_pct,censo_educ_superior_pct,censo_ocupacion_directiva_pct,censo_ocupacion_elemental_pct,censo_etnia_indigena_pct,censo_etnia_afro_pct,censo_etnia_montubio_pct,censo_etnia_mestizo_pct,censo_etnia_blanco_pct,censo_etnia_otro_pct,censo_agua_red_pct,censo_alcantarillado_pct,censo_electricidad_pct,censo_deficit_habitacional_pct,censo_vivienda_propia_pct,censo_internet_fijo_pct,censo_computadora_pct,censo_auto_pct,censo_hacinamiento_pct,viirs,ndvi,mndwi
50-174,Iñaquito,Quito,1,0.9090664173086987,6320.738799547383,6953,0.0655216284987277,0.033278777959629,0.1697201017811704,0.4744274809160305,0.0767175572519084,0.093002544529262,0.0100508905852417,0.1596692111959287,0.933206106870229,0.0119592875318066,0.0419847328244274,0.7071246819338423,0.4483460559796438,0.0314249363867684,0.0044529262086513,0.0086513994910941,0.0064885496183206,0.8198473282442749,0.1450381679389313,0.0155216284987277,0.9469114363681468,0.996774993798065,0.9995038451997024,0.00645001240387,0.5044554455445545,0.9616336633663366,0.911881188118812,0.650990099009901,0.0029702970297029,106.2093819066098,0.068126995083908,0.0091744490609745
50-176,Iñaquito,Quito,1,0.9090664173086987,5177.133246573039,5695,0.0326726540724682,0.0410926920382909,0.1351811706410653,0.4591204707339734,0.0596159801796221,0.0755651904614431,0.003716320842366,0.1314648497986993,0.9317126045215236,0.0114586559306286,0.0275627129142149,0.7167853824713534,0.4541653762774852,0.0390213688448436,0.0023227005264787,0.004955094456488,0.0040260142458965,0.7894084855992567,0.1960359244348095,0.0032517807370703,0.9761536079281512,0.99380613192939,0.9996903065964696,0.003716320842366,0.6149798823893532,0.971835345094398,0.9204580625193438,0.7960383782110801,0.000928505106778,77.38526545161696,0.1032783926549947,-0.0006833611133378
50-175,Iñaquito,Quito,1,0.9090664173086987,4973.502369095891,5471,0.1265172735760971,0.0472061657032755,0.1814946619217081,0.4660374439114962,0.0863376141110939,0.0951570478106142,0.021661766981278,0.1598328949404301,0.8844190004641808,0.0375986384032183,0.0331115580999535,0.5967816803342101,0.3612873278663159,0.0908246944143586,0.0187219557481045,0.0089741606065294,0.006034349373356,0.8418691010366702,0.1226984372582392,0.0017019959771004,0.8974548137218739,0.9933603836222796,1.0,0.0379933603836222,0.6160058737151248,0.9306167400881056,0.8593979441997063,0.6989720998531571,0.0102790014684287,57.544714921614414,0.148917857090174,-0.0167877305250482
50-154,Iñaquito,Quito,1,0.9090664173086987,4748.962964020642,5224,0.0790893760539629,0.0322253235219487,0.1861209364999158,0.4669024759979788,0.0875863230587839,0.0985346134411318,0.0154960417719386,0.1706248947279771,0.9198248273538824,0.0175172646117567,0.0380663634832406,0.6942900454775139,0.4069395317500421,0.0442984672393464,0.0094323732524844,0.0207175341081354,0.0067374094660602,0.7943405760485094,0.1584975576890685,0.0102745494357419,0.9336679813553244,0.9971315883829328,0.9996414485478666,0.0118321979204015,0.5058365758754864,0.9366819950477538,0.883622214361514,0.642023346303502,0.0042447824548991,100.86530963285468,0.0761013839635179,0.0081132453321462
50-144,Rumipamba,Quito,1,1.0,4210.0,4210,0.0800246862785435,0.0393184796854521,0.1491282051282051,0.4678974358974359,0.0715897435897435,0.0775384615384615,0.0141538461538461,0.1349743589743589,0.9351794871794872,0.016,0.0354871794871794,0.6535384615384615,0.3577435897435897,0.0387692307692307,0.0028717948717948,0.0075897435897435,0.0057435897435897,0.8237948717948718,0.155076923076923,0.0049230769230769,0.967529411764706,0.9905882352941175,0.9985882352941176,0.0061176470588235,0.6953455571227081,0.9699106723084155,0.917724494593324,0.8542548189938881,0.0,60.87995149518722,0.1073106732529863,-0.0091658471112571
50-134,Kennedy,Quito,0,0.8327154923399763,4187.726210977741,5029,0.1258912202077816,0.1633246149375181,0.286114313951573,0.587547356283973,0.1948608137044968,0.0912535002470762,0.0247076264206885,0.1633997693954867,0.7285455443913688,0.1709767748311645,0.0489211003129632,0.3520013177400757,0.1605995717344753,0.1530225662987975,0.0751111843188931,0.1153022566298797,0.0296491517048262,0.7343106572228628,0.0395322022731016,0.0060945478504365,0.9518716577540108,0.9910873440285204,0.9976232917409388,0.1093285799168152,0.5493207324276432,0.8470171293561725,0.7111636148848198,0.464264619019492,0.0460720614294152,65.97238886633585,0.0698266542094897,-0.0273993810519416
50-143,Rumipamba,Quito,1,1.0,4116.0,4116,0.0588730025231286,0.0365425158116654,0.138982338099243,0.4537426408746846,0.0664423885618166,0.0725399495374264,0.0084104289318755,0.1305719091673675,0.9255677039529016,0.0172413793103448,0.0380571909167367,0.6667367535744323,0.3748948696383515,0.0454163162321278,0.0031539108494533,0.0082001682085786,0.0029436501261564,0.8156013456686291,0.167157275021026,0.0029436501261564,0.970399605328071,0.9970399605328072,0.9990133201776024,0.0098667982239763,0.716609167077378,0.9655002464268112,0.9334647609659932,0.8486939379004436,0.0059142434696895,80.88717742669779,0.0957699436034708,-0.0106754074087395
50-146,Rumipamba,Quito,1,1.0,4084.0,4084,0.0434510131606434,0.0317679558011049,0.1568832254021307,0.4434927929809902,0.0733235847085857,0.083559640693545,0.007520367662419,0.1493628577397117,0.922498433256737,0.0179653227491121,0.036348443701692,0.6833089617714644,0.4142469187382494,0.0478378942970545,0.0083559640693545,0.0045957802381449,0.0048046793398788,0.8376853979527888,0.1347399206183413,0.0098182577814915,0.96751968503937,0.9931102362204725,0.999015748031496,0.0196850393700787,0.6291033806957373,0.951984321411073,0.917687408133268,0.7716805487506124,0.0029397354238118,81.22155604471689,0.0815269430926543,0.0015118074373249
50-112,Rumipamba,Quito,1,1.0,4064.0,4064,0.0448936170212765,0.0594633792603335,0.1712531752751905,0.4614733276883996,0.0878492802709568,0.0834038950042337,0.0057154953429297,0.1655376799322608,0.9049534292972058,0.0268839966130397,0.0478408128704487,0.6530482641828959,0.3272650296359017,0.0546147332768839,0.0033869602032176,0.0107959356477561,0.0046570702794242,0.8581710414902625,0.1221422523285351,0.0008467400508044,0.9745152354570638,0.9916897506925209,0.998337950138504,0.0221606648199446,0.6718232044198895,0.934806629834254,0.8767955801104972,0.7325966850828729,0.005524861878453,75.5758520782971,0.0874124593086953,-0.0057519462168849
50-999,San Juan,Quito,4,0.6029606041892865,3930.0972181057696,6518,0.5347874720357941,0.1348130841121495,0.2509442346145301,0.4823372583870251,0.122417240613197,0.128526994001333,0.130526549655632,0.1187513885803154,0.597422794934459,0.1428571428571428,0.0542101755165518,0.181959564541213,0.0638746945123305,0.2152854921128638,0.0695401021995112,0.0164407909353477,0.0062208398133748,0.8952455009997778,0.0121084203510331,0.0004443457009553,0.6594969012030624,0.4619030258840685,0.959168793292016,0.3401385344513307,0.584687612856627,0.6081617912603828,0.4037558685446009,0.2788010111953773,0.0736728060671722,10.361412660530124,0.2394109206901625,-0.0356196843246485
