zona_id,I03,nombre_cne,tipo_cne
50-175,50,Iñaquito,URBANA
50-176,50,Iñaquito,URBANA
50-177,50,Itchimbia,URBANA
50-178,50,Iñaquito,URBANA
50-179,50,Iñaquito,URBANA
50-180,50,Mariscal Sucre,URBANA
50-181,50,Belisario Quevedo,URBANA
50-182,50,Belisario Quevedo,URBANA
50-183,50,Belisario Quevedo,URBANA
50-184,50,Belisario Quevedo,URBANA
50-185,50,Belisario Quevedo,URBANA
50-186,50,Belisario Quevedo,URBANA
50-187,50,San Juan,URBANA
50-188,50,Belisario Quevedo,URBANA
50-189,50,Mariscal Sucre,URBANA
50-190,50,Mariscal Sucre,URBANA
50-191,50,Mariscal Sucre,URBANA
50-192,50,Mariscal Sucre,URBANA
50-193,50,Mariscal Sucre,URBANA
50-194,50,Itchimbia,URBANA
50-195,50,Itchimbia,URBANA
50-196,50,Itchimbia,URBANA
50-197,50,Itchimbia,URBANA
50-198,50,Itchimbia,URBANA
50-199,50,Itchimbia,URBANA
50-200,50,San Juan,URBANA
50-201,50,San Juan,URBANA
50-202,50,San Juan,URBANA
50-203,50,San Juan,URBANA
50-204,50,San Juan,URBANA
50-205,50,San Juan,URBANA
50-206,50,San Juan,URBANA
50-207,50,San Juan,URBANA
50-208,50,San Juan,URBANA
50-209,50,San Juan,URBANA
50-210,50,San Juan,URBANA
50-211,50,San Juan,URBANA
50-212,50,San Juan,URBANA
50-213,50,San Juan,URBANA
50-214,50,San Juan,URBANA
50-215,50,Centro Historico,URBANA
50-216,50,Centro Historico,URBANA
50-217,50,Centro Historico,URBANA
50-218,50,Centro Historico,URBANA
50-219,50,Centro Historico,URBANA
50-220,50,Itchimbia,URBANA
50-221,50,Itchimbia,URBANA
50-222,50,Puengasi,URBANA
50-223,50,Puengasi,URBANA
50-224,50,Puengasi,URBANA
50-225,50,Puengasi,URBANA
50-226,50,Puengasi,URBANA
50-227,50,Puengasi,URBANA
50-228,50,Puengasi,URBANA
50-229,50,Puengasi,URBANA
50-230,50,Puengasi,URBANA
50-231,50,Puengasi,URBANA
50-232,50,Puengasi,URBANA
50-233,50,Chimbacalle,URBANA
50-234,50,Centro Historico,URBANA
50-235,50,Centro Historico,URBANA
50-236,50,Centro Historico,URBANA
50-237,50,Centro Historico,URBANA
50-238,50,Centro Historico,URBANA
50-239,50,La Libertad,URBANA
50-240,50,La Libertad,URBANA
50-241,50,La Libertad,URBANA
50-242,50,La Libertad,URBANA
50-243,50,Centro Historico,URBANA
50-244,50,La Libertad,URBANA
50-245,50,La Libertad,URBANA
50-246,50,La Libertad,URBANA
50-247,50,La Libertad,URBANA
50-248,50,Chilibulo,URBANA
50-249,50,Chilibulo,URBANA
50-250,50,Chilibulo,URBANA
50-251,50,Chilibulo,URBANA
50-252,50,La Magdalena,URBANA
50-253,50,La Magdalena,URBANA
50-254,50,La Magdalena,URBANA
50-255,50,Chimbacalle,URBANA
50-256,50,Chimbacalle,URBANA
50-257,50,Chimbacalle,URBANA
50-258,50,Chimbacalle,URBANA
50-259,50,Chimbacalle,URBANA
50-260,50,La Ferroviaria,URBANA
50-261,50,La Ferroviaria,URBANA
50-262,50,Puengasi,URBANA
50-263,50,Puengasi,URBANA
50-264,50,Puengasi,URBANA
50-265,50,Puengasi,URBANA
50-266,50,Puengasi,URBANA
50-267,50,Puengasi,URBANA
50-268,50,Puengasi,URBANA
50-269,50,Puengasi,URBANA
50-270,50,Puengasi,URBANA
50-271,50,La Ferroviaria,URBANA
50-272,50,La Ferroviaria,URBANA
50-273,50,La Ferroviaria,URBANA
50-274,50,Chimbacalle,URBANA
50-275,50,Chimbacalle,URBANA
50-276,50,Chimbacalle,URBANA
50-277,50,Chimbacalle,URBANA
50-278,50,La Magdalena,URBANA
50-279,50,La Magdalena,URBANA
50-280,50,La Magdalena,URBANA
50-281,50,Chilibulo,URBANA
50-282,50,Chilibulo,URBANA
50-283,50,Chilibulo,URBANA
50-284,50,Chilibulo,URBANA
50-285,50,Chilibulo,URBANA
50-286,50,Chilibulo,URBANA
50-287,50,Chilibulo,URBANA
50-288,50,Chilibulo,URBANA
50-289,50,La Magdalena,URBANA
50-290,50,San Bartolo,URBANA
50-291,50,San Bartolo,URBANA
