zona_id,viirs,ndvi,mndwi
50-001,25.516034531555654,0.17757255533564859,-0.052036194984790084
50-002,24.395268711992486,0.13505613191289145,-0.033553287836024896
50-003,25.304129713552967,0.1545826813204684,-0.04039067583330538
50-004,22.13466211909501,0.13555447650217062,-0.0238475059444772
50-005,20.446380978538873,0.11980762866864582,-0.015055462051157573
50-006,26.13572161474893,0.0740117745725879,-0.002248691678858424
50-007,28.131310943077352,0.06762227687325766,-0.0003634283050118916
50-008,29.011862979215735,0.1222458762784861,-0.02185741258174627
50-009,35.00859401743607,0.19978730565901034,-0.04879542986434529
50-010,20.13359064235178,0.19739412772466672,-0.039077265957790264
50-011,32.85938588261394,0.17806515952999205,-0.032833016114896724
50-012,37.547590494155884,0.10866895996214822,-0.016556378983631815
50-013,34.01611524561177,0.11351199071766489,-0.021195381378733204
50-014,28.362775656595183,0.11960608456793526,-0.019725313317989428
50-015,30.192691278862878,0.15084901428492895,-0.023518335537049493
50-016,30.40736509435317,0.14911789234098957,-0.0205503456416692
50-017,28.125642153075695,0.10334059072282528,-0.01889164830061303
50-018,35.48195482183386,0.1432290031235202,-0.02959440741791946
50-019,28.223274501024093,0.10235296432899124,-0.017981489211772804
50-020,27.107790393723967,0.09635354752247198,-0.012417640536613211
50-021,30.787776339074984,0.1541273200971965,-0.03047352445362434
50-022,36.710071708321145,0.14944347361630353,-0.03237931558016818
50-023,37.9435785311573,0.2110430509911876,-0.04135498221979369
50-024,40.17476276112293,0.16343659590966292,-0.03153330115948461
50-025,55.06536986666861,0.08932562856706931,-0.015877921070534737
50-026,44.90341770102125,0.0995560938512341,-0.02585436968847052
50-027,40.8406252300038,0.11335219982780968,-0.03523690084726313
50-028,34.29629194168818,0.1841014071436007,-0.051829323109895284
50-029,46.89518930942198,0.08497890940167062,-0.02785999421108851
50-030,39.132133398163184,0.05638415573763427,-0.018940511332085592
50-031,39.9774083199261,0.09562380907768207,-0.029821576551872876
50-032,41.15732146440926,0.15131912091076977,-0.046182389212424194
50-033,42.53738107731204,0.10751675199848457,-0.02963667777689391
50-034,41.92208848571096,0.16682499554610283,-0.046654314243057333
50-035,48.08522334137583,0.1261987459448983,-0.03299887562888335
50-036,62.13023291940939,0.0935894186313083,-0.02741265020023212
50-037,70.133242953647,0.08492514377804142,-0.02484733208787633
50-038,76.82611865234375,0.05881686174911748,-0.019805531547341052
50-039,50.028041358935525,0.16256482996461874,-0.04904527893077667
50-040,45.90109628609822,0.1347816336883885,-0.037644882554133674
50-041,58.427087249755864,0.16408292804282074,-0.047831093084123276
50-042,61.307103885280824,0.14581433233543475,-0.047812325421440816
50-043,68.70167297659471,0.058342808437208835,-0.03647359988445226
50-044,56.761580414147105,0.08597380708458954,-0.023951523000360474
50-045,48.41589747837611,0.1352077947694814,-0.027778887567505784
50-046,64.31999973251885,0.10755411529953811,-0.024370657525383085
50-047,54.297721078770564,0.06492360883530991,-0.020424821928727147
50-048,58.08546624629141,0.0684876139101183,-0.015125178777964772
50-049,52.970730492338255,0.0984848420733488,-0.015144750898679855
50-050,41.09508854584086,0.13132066389019328,-0.023305059950689693
50-051,48.08825589711792,0.10123396072226014,-0.010794977563628433
50-052,26.2087452298119,0.13563286068557226,-0.02323954248518977
50-053,17.893423876036767,0.18182960224772152,-0.04141438627223273
50-054,30.594424867410265,0.14754366873663102,-0.01616920954831922
50-055,21.49923094169243,0.15539727187399147,-0.018489406080981565
50-056,26.52725484324436,0.14010621397532227,-0.014858782546114337
50-057,21.92062218560113,0.11922158700626947,-0.01578776283353412
50-058,25.475178956985474,0.11292258405719494,-0.00638324847846139
50-059,39.24177746242947,0.07281981023658808,-4.058491718597121e-05
50-060,51.348640488189396,0.12166780666175771,-0.009749297815018076
50-061,36.55843225427576,0.08104751737533987,-0.005856461195570779
50-062,55.65859702679751,0.07724565999716605,-0.0017562836223509468
50-063,53.302524860088646,0.11135747132575335,-0.015141461897260764
50-064,53.60674625553497,0.06517087101392233,-0.009352682593486763
50-065,54.75008214521537,0.060287126476640994,-0.013763872511845462
50-066,62.710097510974606,0.04837604985077268,-0.011453566597800452
50-067,66.39596504366337,0.06017116382801875,-0.023332183874846302
50-068,61.78408999623303,0.061966090111558715,-0.018971647246404957
50-069,58.776075662660205,0.059114104950975105,-0.017259965858716024
50-070,55.28067342657791,0.08558243060866427,-0.020503538541571838
50-071,61.7910223529387,0.10326812109566631,-0.02534768627085698
50-072,75.31069252082892,0.06206164034946777,-0.022699062483041606
50-073,66.41900814110453,0.08722953964619405,-0.04288481426759239
50-074,55.66060678582442,0.15658255867451623,-0.04946214371196575
50-075,56.98581411672192,0.050803800182078335,-0.024552471494150692
50-076,44.74025520911584,0.13668211436243688,-0.034550466946075796
50-077,47.08337691023543,0.10203119861796214,-0.024552762046791122
50-078,34.41104899512397,0.15004112528884128,-0.04412386926576995
50-079,42.946363275701344,0.13157856999448828,-0.04039447696598025
50-080,51.743945760464456,0.15493230144626643,-0.049068366389531846
50-081,65.7432737974363,0.12380047571462965,-0.03207602735527755
50-082,56.47899546425724,0.049149914900538015,-0.029737127577266834
50-083,66.8618351618449,0.07194259111265762,-0.021111309484879787
50-084,68.85674984483833,0.04297271746589272,-0.015403338329211633
50-085,75.82786662926834,0.04332590526051975,-0.013450874365338993
50-086,71.91000366210938,0.04624008363191482,-0.021533747512919147
50-087,76.43298171569252,0.08605863390815616,-0.03196477420735108
50-088,67.26922126060646,0.06654953266759991,-0.00854107789221693
50-089,63.900707749586836,0.055381717054826626,-0.014613720310552579
50-090,51.37927275437576,0.08023004910665878,-0.01610640958045125
50-091,66.80933205922446,0.05882091898757271,-0.007089531125010514
50-092,73.2772201673519,0.05562566629852731,-0.0011330654342610628
50-093,59.6700796269356,0.06693183537975664,-0.004015902482681458
50-094,68.70688591628779,0.09081610894291037,-0.009647616030112476
50-095,72.55830937666857,0.09951899421461843,-0.001939053083159603
50-096,64.42822158942788,0.07495146666814584,-0.004972543703200468
50-097,59.9896664777805,0.07198421712436898,-0.005440075516153188
50-098,70.01980615273501,0.09288648634239009,0.0058596330326613185
50-099,54.07232882007617,0.12075073350391548,-0.01727152629424725
50-100,32.04689717988437,0.11612064787419049,-0.00828201915491645
50-101,12.769699688148817,0.17086238716441246,-0.02480689048165264
50-102,28.01761890956333,0.14084627678459588,-0.014168114294645312
50-103,48.75291406903947,0.08904571332711995,-0.005443010599316874
50-104,55.13660130582403,0.06197906301934661,0.00236069440101588
50-105,60.33379396771461,0.057460308199039564,-0.003246401605931092
50-106,70.49806413001058,0.053669660956521203,-0.006936038807837539
50-107,59.77113612768507,0.081915900409853,-0.009712878474891475
50-108,49.49735509658873,0.10755806920015969,-0.008312915846863037
50-109,37.72860170436162,0.1131099816205525,-0.007512944040039896
50-110,40.11650926324556,0.13571703124735474,-0.024683847587283054
50-111,40.747535954251816,0.13094900509230775,-0.01705467081899172
50-112,75.5758520782971,0.08741245930869539,-0.005751946216884914
50-113,66.82956482554168,0.12536940482451356,-0.031300597874049534
50-114,63.05643945333296,0.07710941565389326,-0.011400051738685612
50-115,67.9540642530595,0.09112692195064252,-0.029021226320395905
50-116,70.79992200411284,0.05744410081359452,-0.015133753634981902
50-117,70.73771255955553,0.08335566374852064,-0.02364561840957212
50-118,77.86138742729692,0.06607302548938679,-0.022387900808950836
50-119,48.61620704387797,0.12218317021614479,-0.02471070244322995
50-120,41.23621482633602,0.13021396057563098,-0.05068391851927315
50-121,47.161113610356075,0.1274531358783561,-0.042437952883637324
50-122,35.20388656679115,0.15999148657111079,-0.05966632398921404
50-123,54.334525638156464,0.11166834857410855,-0.04054310415588975
50-124,68.56302650351273,0.07923105541036962,-0.010124584003785676
50-125,53.34520105533186,0.12972311848668247,-0.030106646914011617
50-126,67.47220744345297,0.06727438748259228,-0.008423498319334812
50-127,74.70899709065755,0.05916295839287512,-0.012347968599085499
50-128,75.24219459772941,0.059549226952030986,-0.013751449821981631
50-129,85.4085623777507,0.0728970718119996,-0.020068271853270637
50-130,89.03299536432166,0.06399861605945871,-0.015166548500569468
50-131,95.00141848874895,0.0702507354872716,-0.028200813674982773
50-132,82.51189821712,0.05778198550834219,-0.026945996474377596
50-133,70.45735544198985,0.06041315987550108,-0.02582059702422277
50-134,65.97238886633585,0.06982665420948976,-0.02739938105194169
50-135,48.85836455815699,0.08194784455283295,-0.029771153736951734
50-136,35.22473034907862,0.15615061005939967,-0.047084619074066664
50-137,42.39075294884936,0.161867422012761,-0.04515254092292596
50-138,46.81637049229079,0.16244567255885026,-0.0382516188923127
50-139,61.76918250414447,0.09855190032974652,-0.028844481556343532
50-140,72.58649050681514,0.07020736240855964,-0.024023640374921752
50-141,82.10762457346638,0.0592468126488735,-0.02322618868329225
50-142,96.13095181720402,0.06698689940720225,-0.00664885091640397
50-143,80.88717742669779,0.09576994360347083,-0.010675407408739556
