zona_id,censo_internet_pct,censo_analf_digital_pct,censo_discapacidad_pct,censo_educ_superior_pct,censo_ocupacion_directiva_pct,censo_ocupacion_elemental_pct,censo_etnia_indigena_pct,censo_etnia_afro_pct,censo_etnia_montubio_pct,censo_etnia_mestizo_pct,censo_etnia_blanco_pct,censo_etnia_otro_pct,censo_agua_red_pct,censo_alcantarillado_pct,censo_electricidad_pct,censo_deficit_habitacional_pct,censo_vivienda_propia_pct,censo_internet_fijo_pct,censo_computadora_pct,censo_auto_pct,censo_hacinamiento_pct
50-001,0.7336956521739131,0.0926177536231884,0.04076086956521739,0.16893115942028986,0.050724637681159424,0.19655797101449277,0.05480072463768116,0.09986413043478261,0.00588768115942029,0.829483695652174,0.009963768115942028,0.0,0.932009167303285,0.9419404125286478,0.9977081741787625,0.2452253628724217,0.6229135053110774,0.7177541729893778,0.4658573596358118,0.20409711684370258,0.06904400606980274
50-002,0.7945339189848707,0.07027818448023426,0.03953147877013177,0.17398731088335773,0.05490483162518302,0.2225475841874085,0.02757442654953636,0.11932650073206442,0.006588579795021962,0.8372376769155686,0.009272816007808687,0.0,0.9671862182116489,0.9917965545529123,0.9983593109105825,0.23625922887612796,0.5877551020408164,0.7183673469387755,0.4710204081632653,0.20489795918367346,0.05795918367346939
50-003,0.6988664366683095,0.10620995564317398,0.053967471660916706,0.15032035485460818,0.048053228191227204,0.2035485460818137,0.06136027599802858,0.07787087235091178,0.010103499260719566,0.8452439625431247,0.005421389847215377,0.0,0.936026936026936,0.9730639730639731,0.9890572390572391,0.2895622895622896,0.6090225563909775,0.6875522138680034,0.41604010025062654,0.2247284878863826,0.07268170426065163
50-004,0.7538712306438468,0.08557457212713937,0.040206465634338495,0.1915240423797881,0.06248302091822874,0.20429231187177396,0.02580820429231187,0.09399619668568324,0.012496604183645748,0.856560717196414,0.011138277641945124,0.0,0.9750445632798574,0.9581105169340464,0.9955436720142602,0.19340463458110516,0.5102040816326531,0.6805678793256433,0.487133984028394,0.21650399290150843,0.05944986690328305
50-005,0.8279990789776652,0.04812341699286208,0.039603960396039604,0.2604190651623302,0.10361501266405711,0.1722311766060327,0.005756389592447617,0.0492746949113516,0.0052958784250518075,0.9272392355514621,0.012433801519686852,0.0,0.985894580549369,0.991833704528582,0.9977728285077951,0.06904231625835189,0.4714603409933284,0.7976278724981468,0.6634544106745738,0.3988139362490734,0.023721275018532245
50-006,0.7740617819760021,0.07480214449834056,0.02655093183558846,0.20040847587439367,0.061526678580546335,0.1850906305846311,0.03293336737298953,0.06459024763849885,0.009956599438345672,0.8794996170538678,0.013020168496298187,0.0,0.9873203719357565,0.9873203719357565,1.0,0.14792899408284024,0.4877843302443134,0.7540016849199663,0.556866048862679,0.2704296545914069,0.04296545914069082
50-007,0.7777080062794348,0.08069073783359498,0.0282574568288854,0.23296703296703297,0.05745682888540032,0.13846153846153847,0.017582417582417582,0.049607535321821036,0.0075353218210361065,0.9161695447409733,0.009105180533751962,0.0,0.9702495201535508,0.9923224568138196,0.991362763915547,0.15259117082533588,0.5148042024832856,0.7602674307545367,0.5310410697230181,0.2922636103151863,0.04680038204393505
50-008,0.7422600619195047,0.1065531475748194,0.04695562435500516,0.14731682146542827,0.05701754385964912,0.18292053663570693,0.03070175438596491,0.18472652218782248,0.005159958720330237,0.7662538699690402,0.013157894736842105,0.0,0.9538855678906917,0.9649871904355252,0.9965841161400513,0.26131511528608026,0.5240506329113924,0.7012658227848101,0.47848101265822784,0.2008438818565401,0.06244725738396625
50-009,0.7518823951237003,0.0989602007888132,0.048762997490139834,0.16708497669415562,0.04266762280387235,0.20258157045536035,0.03155252778773754,0.08999641448547867,0.00932233775546791,0.8572965220509143,0.011832197920401577,0.0,0.9620563035495716,0.9571603427172583,0.9975520195838433,0.24479804161566707,0.5875912408759124,0.6922141119221411,0.5097323600973236,0.20194647201946472,0.04866180048661801
50-010,0.7229888926287446,0.1124200605856614,0.0572197913160552,0.12016156176371592,0.023561090541905083,0.1985863345674857,0.11915180074049142,0.15617637159205655,0.016492763379333558,0.7014473241332885,0.006731740154830024,0.0,0.7840909090909091,0.7295454545454545,0.9795454545454545,0.36477272727272725,0.636978579481398,0.644870349492672,0.31905298759864714,0.18376550169109357,0.07215332581736189
